name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
portugal,2018-08-01T00:00:00,19,19,13,68.14,0,0,,0,0,45.4,21,340,1016.5,2.7,10,0,0,0,,Clear,clear-night,"08535099999,08532099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T01:00:00,18.5,18.5,13.5,72.88,0,0,,0,0,44.6,18.8,349,1016.5,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T02:00:00,18.5,18.5,14,75.15,0,0,,0,0,43.6,20.4,340,1016,4.9,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T03:00:00,18,18,13.8,76.38,0,0,,0,0,42.1,15.6,345,1015.6,3,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T04:00:00,18,18,14.1,77.89,0,0,,0,0,41.4,13,339,1015.5,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T05:00:00,18,18,14.4,79.17,0,0,,0,0,41.4,16.5,329,1014.9,1.5,10,0,0,0,,Clear,clear-night,"08535099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T06:00:00,18.4,18.4,14.4,77.36,0,0,,0,0,39.6,16,339,1014.8,3.8,10,0,0,0,,Clear,clear-night,"08535099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T07:00:00,18.4,18.4,14.6,78.81,0,0,,0,0,37.8,10.7,334,1014.8,24.2,11.5,9,0,0,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T08:00:00,20.3,20.3,15,71.81,0,0,,0,0,34.2,13.3,343,1014.7,30.3,10,37,0.1,0,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T09:00:00,21.9,21.9,15.6,67.59,0,0,,0,0,35.3,13.7,349,1014.6,28.5,10,131,0.5,1,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T10:00:00,23.5,23.5,16.3,63.98,0,0,,0,0,36,14.2,9,1014.7,0.1,17.4,343,1.2,3,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T11:00:00,26.9,27.7,17.3,55.65,0,0,,0,0,34.9,12.8,36,1014.5,30,10,654,2.4,7,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T12:00:00,28.4,29,17.3,51.11,0,0,,0,0,33.1,11.6,35,1014.1,30,10,784,2.8,8,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T13:00:00,30.1,31,18.2,49.11,0,0,,0,0,31.7,7.7,51,1013.4,0,24.5,871,3.1,9,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T14:00:00,31.9,32.9,18.3,44.41,0,0,,0,0,31.7,12.4,81,1013.2,0,10,900,3.2,9,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T15:00:00,32.2,33.1,18,42.92,0,0,,0,0,31.7,8.9,40,1012.7,0,10,866,3.1,9,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T16:00:00,33.9,35.5,18.7,40.54,0,0,,0,0,37.8,7.7,251,1012,0,25,779,2.8,8,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T17:00:00,33,34.5,18.9,43.6,0,0,,0,0,40.7,17.8,329,1011.7,0,10,651,2.3,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T18:00:00,31.6,32.5,18,44.17,0,0,,0,0,42.1,17.4,316,1011.4,0,10,481,1.7,5,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T19:00:00,30.1,30.6,17.3,46.36,0,0,,0,0,42.5,18.6,326,1011.2,0,11.6,291,1,3,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T20:00:00,28.4,29,17.1,50.29,0,0,,0,0,39.6,20.7,321,1011,0,10,110,0.4,1,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T21:00:00,27.3,27.8,16.3,50.9,0,0,,0,0,38.2,17.6,323,1011.3,0,10,20,0.1,0,,Clear,clear-night,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-01T22:00:00,26.5,26.5,15.6,51.14,0,0,,0,0,38.2,13.7,340,1012,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-01T23:00:00,26.8,27,14.3,46.31,0,0,,0,0,36.4,8.8,353,1011.9,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T00:00:00,26.3,26.3,14.3,47.64,0,0,,0,0,34.6,7.2,342,1011.9,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T01:00:00,25.6,25.6,14.1,49.24,0,0,,0,0,31.7,8.8,323,1012.1,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T02:00:00,25.2,25.2,14.5,51.52,0,0,,0,0,29.2,10.5,342,1011.7,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T03:00:00,23.7,23.7,15.9,61.82,0,0,,0,0,26.3,9,350,1011.7,0.3,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T04:00:00,23.3,23.3,16.4,65.16,0,0,,0,0,22.7,8.8,306,1011.6,50,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T05:00:00,23.3,23.3,15.7,62.27,0,0,,0,0,16.9,8.3,299,1011.8,9.3,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T06:00:00,23.1,23.1,15.2,61.14,0,0,,0,0,14.8,4.8,54,1012,13.2,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T07:00:00,23,23,15.8,64.02,0,0,,0,0,17.3,6.3,70,1012.8,38,11.5,16,0.1,0,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T08:00:00,24.4,24.4,15.9,59.24,0,0,,0,0,20.5,6.3,314,1012.3,30,10,89,0.3,1,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T09:00:00,26.9,27.5,16.3,52.25,0,0,,0,0,19.4,8.9,45,1012.4,30,10,272,1,3,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T10:00:00,26.1,26.1,17.6,59.77,0,0,,0,0,16.6,14,61,1012.7,10,19.2,413,1.5,4,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T11:00:00,28.6,29,16.7,48.43,0,0,,0,0,16.2,15.8,35,1012.9,25,10,579,2.1,6,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
portugal,2018-08-02T12:00:00,31.5,32.2,17.8,44.07,0,0,,0,0,18,10.4,59,1013,10.5,10,687,2.5,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T13:00:00,34.8,36,18,36.98,0,0,,0,0,19.8,4.1,51,1012.7,2,17.4,761,2.7,8,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T14:00:00,36.5,36.9,16.2,30.14,0,0,,0,0,33.5,7.9,43,1012.4,33.2,10,801,2.9,8,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T15:00:00,38.1,37.9,14.4,24.56,0,0,,0,0,22.7,5,180,1012.1,37.1,10,782,2.8,8,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T16:00:00,38.6,38.1,13.6,22.66,0,0,,0,0,29.5,3.9,112,1011.3,10.2,17.6,688,2.5,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T17:00:00,38.7,39.1,15.5,25.57,0,0,,0,0,32,8.1,298,1011,12.4,10,581,2.1,6,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
portugal,2018-08-02T18:00:00,38.7,38.7,14.7,24.2,0,0,,0,0,31.7,7.6,19,1010.8,25,10,427,1.5,4,,Partially cloudy,partly-cloudy-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T19:00:00,37.3,38.4,17.1,30.4,0,0,,0,0,29.5,13.3,327,1010.8,60,11.6,254,0.9,3,,Partially cloudy,partly-cloudy-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T20:00:00,35.6,36.3,17,33.23,0,0,,0,0,28.4,15.2,330,1011,53.4,10,94,0.3,1,,Partially cloudy,partly-cloudy-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T21:00:00,33.1,33.4,16.5,36.97,0,0,,0,0,28.8,14.5,322,1011.6,30.8,10,18,0.1,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-02T22:00:00,32.7,32.3,15,34.53,0,0,,0,0,28.4,14.8,333,1012.3,60,11.6,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-02T23:00:00,33.1,32.1,13,29.57,0,0,,0,0,26.6,14.2,320,1012.6,6.3,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT"
portugal,2018-08-03T00:00:00,32.1,30.8,11.7,28.68,0,0,,0,0,27.7,12.7,343,1013,2.2,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T01:00:00,29.1,29.5,16.9,47.69,0,0,,0,0,28.1,3.6,360,1013.5,10,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT"
portugal,2018-08-03T02:00:00,28.6,28.6,15.4,44.77,0,0,,0,0,22.7,4.2,260,1013.3,10,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T03:00:00,28.9,29,15.7,44.8,0,0,,0,0,17.6,3.6,59.3,1013.1,22.5,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T04:00:00,28.6,28.5,14.9,43.4,0,0,,0,0,13.7,8.2,23,1013.1,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T05:00:00,26.4,26.4,18.5,61.71,0,0,,0,0,11.9,5.3,82,1013.7,16.7,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T06:00:00,25.5,25.5,17.2,59.96,0,0,,0,0,11.5,5,80,1014.1,10.6,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T07:00:00,26.4,26.4,16.7,55.08,0,0,,0,0,10.8,3.7,299,1014.5,10,11.5,18,0.1,0,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T08:00:00,27,28.1,18.6,60.07,0,0,,0,0,12.2,4.8,117.2,1014.8,0,10,86,0.3,1,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T09:00:00,30.4,31.4,18.3,48.24,0,0,,0,0,12.6,3.8,140,1015,2.1,10,235,0.8,2,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T10:00:00,32.3,33.9,19.1,45.73,0,0,,0,0,14,0.8,9,1015,0,19.2,410,1.5,4,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T11:00:00,34.3,33.4,13.4,28.37,0,0,,0,0,15.5,7.5,64,1015.4,1.4,10,558,2,6,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T12:00:00,36,36.6,16.5,31.65,0,0,,0,0,27.7,8.4,78,1015.4,0,10,697,2.5,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T13:00:00,38.5,37.7,12.7,21.54,0,0,,0,0,14.4,4.1,227,1015.2,0,21,788,2.8,8,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T14:00:00,40.1,39.9,13.8,21.27,0,0,,0,0,15.1,7.4,130,1014.8,0,10,824,3,8,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T15:00:00,40.1,39.2,12,18.86,0,0,,0,0,27.7,6.1,191,1014.7,0,10,802,2.9,8,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T16:00:00,41,39.1,9,14.77,0,0,,0,0,19.8,7.7,233,1014.4,0,23.1,723,2.6,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T17:00:00,39.4,37.3,8,15,0,0,,0,0,22.3,11.4,247,1014.1,0,10,596,2.1,6,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T18:00:00,38,36.3,10,18.53,0,0,,0,0,24.5,16.2,260,1014,0,10,439,1.6,4,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T19:00:00,37.4,36.2,11.9,21.81,0,0,,0,0,25.2,13,277,1014,0,11.6,259,0.9,3,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T20:00:00,35.7,34.3,11.4,23.08,0,0,,0,0,19.8,12.8,306,1014.2,1.9,10,95,0.3,1,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T21:00:00,34,32.2,9.8,22.83,0,0,,0,0,21.2,15.5,316,1014.8,20.3,10,17,0.1,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-08-03T22:00:00,32.7,31,9.5,24.04,0,0,,0,0,21.6,15.7,319,1015.2,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-08-03T23:00:00,31.7,30.1,9.7,25.66,0,0,,0,0,18.7,12.9,310,1015.6,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
