name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
portugal,2018-10-01T00:00:00,19.4,19.4,15.1,76.17,0,0,,0,0,27.7,13.1,317,1018.7,18.6,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T01:00:00,19,19,14.9,77.3,0,0,,0,0,26.6,16.1,315,1018.6,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T02:00:00,19,19,14.9,77.09,0,0,,0,0,24.8,17.4,328,1018.6,29.2,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T03:00:00,18.9,18.9,15.1,78.48,0,0,,0,0,23,12.6,330,1018.3,31.4,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T04:00:00,18.8,18.8,15.1,78.93,0,0,,0,0,21.6,14.1,329,1017.8,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T05:00:00,18.1,18.1,14.8,81.08,0,0,,0,0,20.9,10.7,325,1017.8,26.3,10,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T06:00:00,17.7,17.7,15.5,87.17,0,0,,0,0,20.5,10.2,351,1017.9,18.2,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T07:00:00,17.6,17.6,15.7,88.71,0,0,,0,0,20.9,6.4,2,1018.1,20.3,11.2,0,0,0,,Partially cloudy,partly-cloudy-night,"08535099999,08532099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-10-01T08:00:00,17.7,17.7,15.1,84.43,0,0,,0,0,24.5,11.8,358,1018.8,26.1,8.1,12,0,0,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T09:00:00,19.9,19.9,15,73.25,0,0,,0,0,25.2,7.2,2,1019,24.2,9.5,44,0.2,0,,Partially cloudy,partly-cloudy-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T10:00:00,23.1,23.1,16.5,66.33,0,0,,0,0,25.6,8.8,4,1019.1,0,9.4,160,0.6,2,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T11:00:00,25.1,25.1,16.8,60.12,0,0,,0,0,25.6,9.3,23,1019,0,10,451,1.6,5,,Clear,clear-day,"08535099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T12:00:00,26.7,26.6,11.6,39,0,0,,0,0,25.6,12.3,339,1019.1,0,10,633,2.3,6,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T13:00:00,29.1,29.5,17,48.06,0,0,,0,0,25.9,11.1,33,1018.2,0,21,707,2.5,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T14:00:00,29.7,28.2,7.4,24.64,0,0,,0,0,28.1,12.1,328,1017.8,1.6,10,725,2.6,7,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T15:00:00,29.2,28.3,12.1,34.97,0,0,,0,0,32.4,15.3,338,1017.1,0.9,10,689,2.5,7,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-10-01T16:00:00,28.1,27.4,10.9,34.3,0,0,,0,0,36,11.3,22,1016.7,9.9,21.3,585,2.1,6,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
